Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/31/2021,74.47,75.02,73.23,73.35,-1.61,-2.15%,21052,210984
12/30/2021,74.61,75.33,73.97,74.96,0.33,+0.44%,16460,211428
12/29/2021,74.36,75.2,73.56,74.63,0.61,+0.82%,23941,211115
12/28/2021,73.66,74.74,73.49,74.02,0.41,+0.56%,21313,211848
12/27/2021,71.41,74.05,71.01,73.61,2.58,+3.63%,20867,212868
12/24/2021,71.92,72.07,70.19,71.03,-1.15,-1.59%,4814,212150
12/23/2021,71.34,72.36,70.69,72.18,1.02,+1.43%,29902,213251
12/22/2021,70.51,71.45,69.89,71.16,0.66,+0.94%,41605,215315
12/21/2021,68.76,70.78,68.4,70.5,2.01,+2.93%,36633,215707
12/20/2021,69.27,69.27,66.76,68.49,-1.53,-2.19%,61411,216396
12/17/2021,71.05,71.34,69.39,70.02,-1.38,-1.93%,42212,213042
12/16/2021,71.17,71.99,70.73,71.4,0.66,+0.93%,44800,215722
12/15/2021,70.62,71.37,69.72,70.74,-0.2,-0.28%,46410,213071
12/14/2021,71.6,72.01,70.05,70.94,-0.52,-0.73%,42790,212126
12/13/2021,72.38,72.95,71.28,71.46,-0.38,-0.53%,38016,210119
12/10/2021,71.06,72.46,70.96,71.84,0.36,+0.50%,33757,212213
12/09/2021,72.51,73.22,70.92,71.48,-1.14,-1.57%,57006,211185
12/08/2021,71.98,72.83,71.18,72.62,0.69,+0.96%,59274,213995
12/07/2021,70.1,72.32,69.86,71.93,2.15,+3.08%,70864,215920
12/06/2021,67.9,70.34,67.74,69.78,2.58,+3.84%,55865,214726
12/03/2021,66.99,68.91,66.62,67.2,0.42,+0.63%,71992,216212
12/02/2021,66.49,67.46,63.84,66.78,0.79,+1.20%,124813,212271
12/01/2021,66.35,68.78,65.33,65.99,0.01,+0.02%,92438,209911
11/30/2021,70.43,70.54,64.62,65.98,-3.5,-5.04%,129337,208412
11/29/2021,68.79,71.5,68.49,69.48,1.74,+2.57%,89892,205516
11/26/2021,75.01,75.19,67.31,67.74,-7.99,-10.55%,134216,202518
11/25/2021,75.7,76.01,75.38,75.73,0.18,+0.24%,13122,197566
11/24/2021,75.39,76.06,75.06,75.55,-0.26,-0.34%,39625,197952
11/23/2021,73.76,76.05,72.99,75.81,2.02,+2.74%,81415,198572
11/22/2021,72.46,73.89,72.01,73.79,1.04,+1.43%,43977,196481
11/19/2021,74.34,75.27,72.34,72.75,-1.82,-2.44%,65539,196696
11/18/2021,73.56,74.67,72.97,74.57,0.95,+1.29%,60201,195028
11/17/2021,74.79,75,73.3,73.62,-1.42,-1.89%,41711,196155
11/16/2021,74.81,75.67,74.58,75.04,0.23,+0.31%,29187,194694
11/15/2021,74.81,75.02,73.95,74.81,0,0.00%,30755,193836
11/12/2021,75.21,75.22,74.02,74.81,-0.55,-0.73%,35507,193373
11/11/2021,75.21,75.55,74.29,75.36,0.44,+0.59%,45517,190760
11/10/2021,76.48,76.83,74.57,74.92,-1.53,-2.00%,50782,189394
11/09/2021,75.96,76.61,75.73,76.45,0.54,+0.71%,44544,185488
11/08/2021,75.32,76.17,75.32,75.91,0.53,+0.70%,34412,181133
11/05/2021,73.92,75.58,73.17,75.38,1.94,+2.64%,72212,179685
11/04/2021,73.61,75.64,73.08,73.44,-0.22,-0.30%,78071,186890
11/03/2021,75.13,75.22,73.05,73.66,-1.9,-2.51%,57036,183369
11/02/2021,75.31,75.79,74.88,75.56,0.09,+0.12%,28955,181607
11/01/2021,74.91,75.82,74.4,75.47,0.36,+0.48%,42604,180880
"Downloaded from Barchart.com as of 02-10-2022 07:09pm CST"
